#SampleID	LinkerPrimerSequence	BarcodeSequence	Name	SampleType	GPS	Population	Captive	Warren	Date Collected	Sex	Extraction Kit	Date Extracted	Lot No.	Associated EBC	Description
M9b	NA	NA	M9b	Faecal	-	Captive	Yes	Cb	1/06/2019		Qiagen DNeasy Powersoil	12/07/2019	1600-54007	EBC8	NA
M10a	NA	NA	M10a	Faecal	-	Captive	Yes	Cb	28/05/2019		Qiagen DNeasy Powersoil	11/07/2019	1600-54007	EBC7	NA
M10b	NA	NA	M10b	Faecal	-	Captive	Yes	Cb	1/06/2019		Qiagen DNeasy Powersoil	24/07/2019		EBC10	NA
M11	NA	NA	M11	Faecal	-	Captive	Yes	Cb	1/06/2019		Qiagen DNeasy Powersoil	24/07/2019		EBC10	NA
M12	NA	NA	M12	Faecal	-	Captive	Yes	Cb	5/06/2019		Qiagen DNeasy Powersoil	25/07/2019		EBC 11	NA
M13	NA	NA	M13	Faecal	-	Captive	Yes	Cb	20/05/2019		Qiagen DNeasy Powersoil	25/07/2019		EBC 11	NA
M14	NA	NA	M14	Faecal	-	Captive	Yes	Cb	5/06/2019		Qiagen DNeasy Powersoil	26/07/2019		EBC12	NA
Wsoil	NA	NA	Wsoil	Soil	"54H 0352805, 6245217"	Wonga	No	-	20/06/2019	N	Qiagen DNeasy Powersoil	24/07/2019		EBC10	NA
W1	NA	NA	W1	Faecal	"54H 0354066, 6248909"	Wonga	No	Wa	19/06/2019	U	Qiagen DNeasy Powersoil	28/06/2019	1630-11363	EBC4	NA
W2	NA	NA	W2	Faecal	"54H 0354066, 6248909"	Wonga	No	Wa	19/06/2019	U	Qiagen DNeasy Powersoil	1/07/2019	1630-11363	EBC5	NA
W3	NA	NA	W3	Faecal	"54H 0353651, 6249183"	Wonga	No	Wb	19/06/2019	U	Qiagen DNeasy Powersoil	28/06/2019	1630-11363	EBC4	NA
W4	NA	NA	W4	Faecal	"54H 0353651, 6249183"	Wonga	No	Wb	19/06/2019	U	Qiagen DNeasy Powersoil	18/07/2019	1600-54007	EBC9	NA
W5	NA	NA	W5	Faecal	"54H 0353651, 6249183"	Wonga	No	Wb	19/06/2019	U	Qiagen DNeasy Powersoil	5/07/2019	1630-11363	EBC6	NA
W6	NA	NA	W6	Faecal	"54H 0353762, 6247895"	Wonga	No	Wc	19/06/2019	U	Qiagen DNeasy Powersoil	1/07/2019	1630-11363	EBC5	NA
